text,loc
"Their white-winter coats are gaily swapped for deepest green and the ground-snow remains as glacial rivers for a time. A few more weeks and there will be rocks showing from the white, then the earth below. This is the time when the streams run full, when their life is infused with fresh water, pure and clean. ",mountain
"To my eye, their peaks are the green line of a doctor's graph. I saw those rocks at dawn, those slopes that give home to so much life, a foundation for trees and shrubs, grass and ferns. ",mountain
"There is nothing that can make me feel so elevated and yet so insignificant as the Alps. They rise like mighty jagged teeth from the earth, creviced to perfection, sculpted by the rains and winters. The track up and over is not as a child might imagine, winding round as the tinsel goes around a christmas tree, but folds back and forth in hairpin turns. The summer breeze down here at the base will be a winter chill up there, the alpine grass giving way to snow and ice...",mountain
"Her eyes began to water as a wind whipped the hair across her face. When she looked down at the dizzying drop, nothing met her gaze but flat clouds, hiding the treasure of their landscape below.",mountain
"The flat land surrounding them meant all could be seen for miles around, the rising moon casting a wash of cool, pale blue over everything. Oranges and purples filled the air, the clouds framed with silver and gold from the sun and moon who shared the sky for these short moments. ",mountain
"Their white-winter coats are gaily swapped for deepest green and the ground-snow remains as glacial rivers for a time. A few more weeks and there will be rocks showing from the white, then the earth below. This is the time when the streams run full, when their life is infused with fresh water, pure and clean.",mountain
"At the far end of a long gravelled driveway, and surrounded by well manicured lawns, the chalet-style bungalow nestled in a pocket of light, semi-woodland.",road
"It is a grey that has welcomed many suns, become silvery as it soaked in the rays. I let my eyes run over each hue, seeing imperfections for the first time, yet feeling that as details created by an artistic hand, they render it all the more beautiful.",road
"As the sun sets, its rising is already promised to the land, to the green shoots who wait in faith. And so, even though our eyes may only see one step at a time, we stride on, eyes wide. ",road
All about us was the perfume of the salty water and the fine spray that came as boldly as any viola flurry. It was as if life herself had entered the water and the energy was so great that this great pulse came upward to form a steady rhythm.,sea
"In them are schools of the living, the creation that remained in her watery embrace when we land dwellers sought flowers and the shelter of trees. Though to her fish swimming is as easy as breathing underwater, it is no doubt time for me to return to the waves and the boat that awaits, anchored for my return as it rests upon her steady pulse.",sea
"The waves come in as a deep aquamarine and turn golden as they churn the sand on the shore. Each hue is made more pretty by the brilliant white of the crests, drawing the eye away from the cloudless sky.",sea
